date_id, file_name, date
275,WEBPXTICK_DT-20120430.gz,20120430
276,WEBPXTICK_DT-20120427.gz,20120427
277,WEBPXTICK_DT-20120426.gz,20120426
278,WEBPXTICK_DT-20120425.gz,20120425
279,WEBPXTICK_DT-20120424.gz,20120424
280,WEBPXTICK_DT-20120423.gz,20120423
281,WEBPXTICK_DT-20120420.gz,20120420
282,WEBPXTICK_DT-20120419.gz,20120419
283,WEBPXTICK_DT-20120418.gz,20120418
284,WEBPXTICK_DT-20120417.gz,20120417
285,WEBPXTICK_DT-20120416.gz,20120416
286,WEBPXTICK_DT-20120413.gz,20120413
287,WEBPXTICK_DT-20120412.gz,20120412
288,WEBPXTICK_DT-20120411.gz,20120411
289,WEBPXTICK_DT-20120410.gz,20120410
290,WEBPXTICK_DT-20120409.gz,20120409
291,WEBPXTICK_DT-20120406.gz,20120406
292,WEBPXTICK_DT-20120405.gz,20120405
293,WEBPXTICK_DT-20120404.gz,20120404
294,WEBPXTICK_DT-20120403.gz,20120403
295,WEBPXTICK_DT-20120402.gz,20120402
296,WEBPXTICK_DT-20120330.gz,20120330
297,WEBPXTICK_DT-20120329.gz,20120329
298,WEBPXTICK_DT-20120328.gz,20120328
299,WEBPXTICK_DT-20120327.gz,20120327
300,WEBPXTICK_DT-20120326.gz,20120326
301,WEBPXTICK_DT-20120323.gz,20120323
302,WEBPXTICK_DT-20120322.gz,20120322
303,WEBPXTICK_DT-20120321.gz,20120321
304,WEBPXTICK_DT-20120320.gz,20120320
305,WEBPXTICK_DT-20120319.gz,20120319
306,WEBPXTICK_DT-20120316.gz,20120316
307,WEBPXTICK_DT-20120315.gz,20120315
308,WEBPXTICK_DT-20120314.gz,20120314
309,WEBPXTICK_DT-20120313.gz,20120313
310,WEBPXTICK_DT-20120312.gz,20120312
311,WEBPXTICK_DT-20120309.gz,20120309
312,WEBPXTICK_DT-20120308.gz,20120308
313,WEBPXTICK_DT-20120307.gz,20120307
314,WEBPXTICK_DT-20120306.gz,20120306
315,WEBPXTICK_DT-20120305.gz,20120305
316,WEBPXTICK_DT-20120303.gz,20120303
317,WEBPXTICK_DT-20120302.gz,20120302
318,WEBPXTICK_DT-20120301.gz,20120301
319,WEBPXTICK_DT-20120229.gz,20120229
320,WEBPXTICK_DT-20120228.gz,20120228
321,WEBPXTICK_DT-20120227.gz,20120227
322,WEBPXTICK_DT-20120224.gz,20120224
323,WEBPXTICK_DT-20120223.gz,20120223
324,WEBPXTICK_DT-20120222.gz,20120222
325,WEBPXTICK_DT-20120221.gz,20120221
326,WEBPXTICK_DT-20120220.gz,20120220
327,WEBPXTICK_DT-20120217.gz,20120217
328,WEBPXTICK_DT-20120216.gz,20120216
329,WEBPXTICK_DT-20120215.gz,20120215
330,WEBPXTICK_DT-20120214.gz,20120214
331,WEBPXTICK_DT-20120213.gz,20120213
332,WEBPXTICK_DT-20120210.gz,20120210
333,WEBPXTICK_DT-20120209.gz,20120209
334,WEBPXTICK_DT-20120208.gz,20120208
335,WEBPXTICK_DT-20120207.gz,20120207
336,WEBPXTICK_DT-20120206.gz,20120206
337,WEBPXTICK_DT-20120204.gz,20120204
338,WEBPXTICK_DT-20120203.gz,20120203
339,WEBPXTICK_DT-20120202.gz,20120202
340,WEBPXTICK_DT-20120201.gz,20120201
341,WEBPXTICK_DT-20120131.gz,20120131
342,WEBPXTICK_DT-20120130.gz,20120130
343,WEBPXTICK_DT-20120127.gz,20120127
344,WEBPXTICK_DT-20120126.gz,20120126
345,WEBPXTICK_DT-20120125.gz,20120125
346,WEBPXTICK_DT-20120124.gz,20120124
347,WEBPXTICK_DT-20120123.gz,20120123
348,WEBPXTICK_DT-20120120.gz,20120120
349,WEBPXTICK_DT-20120119.gz,20120119
350,WEBPXTICK_DT-20120118.gz,20120118
351,WEBPXTICK_DT-20120117.gz,20120117
352,WEBPXTICK_DT-20120116.gz,20120116
353,WEBPXTICK_DT-20120113.gz,20120113
354,WEBPXTICK_DT-20120112.gz,20120112
355,WEBPXTICK_DT-20120111.gz,20120111
356,WEBPXTICK_DT-20120110.gz,20120110
357,WEBPXTICK_DT-20120109.gz,20120109
